a,0.08464060984298946
h,0.026431680244486604
e,0.10772175913605576
d,0.03238846586372962
i,0.08956668297721959
n,0.07194699356448535
g,0.023643434143996427
s,0.07161763485536546
l,0.05577493726160124
m,0.030103843853639973
r,0.07043297364271876
v,0.009464412948862124
k,0.007672827477272532
w,0.006411764200911674
o,0.07199449447301176
f,0.01122795571541805
c,0.04377523485765466
t,0.06607032995962422
u,0.03762730100410053
b,0.018296434284209954
y,0.020196184475215113
x,0.003002572488961762
j,0.001561234680241625
p,0.032523814838024766
z,0.004223002458028941
q,0.001683420752174025
